# t_sec   Poft_Rzmin  Poft_Rzmax
1.708020000000000094e+00 1.690703070997733540e-08 4.264384314691441782e-08
1.719070000000000098e+00 1.699086730420352884e-08 4.280202623602082399e-08
1.730199999999999960e+00 1.710448849362122388e-08 4.306656849256266116e-08
1.741389999999999993e+00 1.720287795093004406e-08 4.321807134250244719e-08
1.752660000000000107e+00 1.727456434309798852e-08 4.326911361265163980e-08
1.764000000000000012e+00 1.738346459561264404e-08 4.350447861331128226e-08
1.775409999999999933e+00 1.748215667070075908e-08 4.371838007860339041e-08
1.786899999999999933e+00 1.760038440542526808e-08 4.403188603020171764e-08
1.798459999999999948e+00 1.768919724481506114e-08 4.413518310818582065e-08
1.810100000000000042e+00 1.777023201455377384e-08 4.417128686983834068e-08
1.821809999999999929e+00 1.788165458404127723e-08 4.435231159797780721e-08
1.833599999999999897e+00 1.797296148007493049e-08 4.447086426349823653e-08
1.845469999999999944e+00 1.802088836151327847e-08 4.471827430895551745e-08
1.857410000000000005e+00 1.804361747377539158e-08 4.484878518194052747e-08
1.869429999999999925e+00 1.807344552092566491e-08 4.497426332340276840e-08
1.881520000000000081e+00 1.810104281310725732e-08 4.519907916386085495e-08
1.893699999999999939e+00 1.820292416506757702e-08 4.547283566191804904e-08
1.905950000000000033e+00 1.831745431198796671e-08 4.576335390005922899e-08
1.918290000000000051e+00 1.842206517936690480e-08 4.600396448808819863e-08
1.930700000000000083e+00 1.856247417171946248e-08 4.634458229252918258e-08
1.943189999999999973e+00 1.863889085111714195e-08 4.648566527068434620e-08
1.955759999999999943e+00 1.868337616671365998e-08 4.658086890781931012e-08
1.968420000000000059e+00 1.873442786859469833e-08 4.674058551144174753e-08
1.981160000000000032e+00 1.881756238831713558e-08 4.689917496254685152e-08
1.993980000000000086e+00 1.894804159058806968e-08 4.721050794566494114e-08
2.006880000000000219e+00 1.907308331432664897e-08 4.750420477327864384e-08
2.019859999999999989e+00 1.919294501972496961e-08 4.778957623497350105e-08
2.032929999999999904e+00 1.929519233272519582e-08 4.795727829253941810e-08
2.046089999999999964e+00 1.936459825214489274e-08 4.792404874166296342e-08
2.059330000000000105e+00 1.942001459102827256e-08 4.783704615590176241e-08
2.072649999999999881e+00 1.951842403320768116e-08 4.791384937172539476e-08
2.086059999999999803e+00 1.960179844057279978e-08 4.808756697421101435e-08
2.099559999999999871e+00 1.963933408702472612e-08 4.816654482001522734e-08
2.113150000000000084e+00 1.976274470376185797e-08 4.836362589729038828e-08
2.126819999999999933e+00 1.976831019156005288e-08 4.852828645020350529e-08
2.140579999999999927e+00 1.977539377259983728e-08 4.880660237943318031e-08
2.154430000000000067e+00 1.983459495230842388e-08 4.865831051321548685e-08
2.168379999999999974e+00 1.987003992488326346e-08 4.855271985014438166e-08
2.182409999999999961e+00 1.998591396495984192e-08 4.875750114800184387e-08
2.196530000000000094e+00 2.007590298507696965e-08 4.881696065113889652e-08
2.210739999999999927e+00 2.017912574521139961e-08 4.908400765287719683e-08
2.225049999999999972e+00 2.030555274960685315e-08 4.934974034090475308e-08
2.239440000000000097e+00 2.044162173216598901e-08 4.966942537009654029e-08
2.253929999999999989e+00 2.055280584471584845e-08 4.990114225007713738e-08
2.268520000000000092e+00 2.068119125375678695e-08 5.016607833370550975e-08
2.283199999999999896e+00 2.082191816057285615e-08 5.052440739496332751e-08
2.297969999999999846e+00 2.092034354739251914e-08 5.072119143154534610e-08
2.312840000000000007e+00 2.097665565294586818e-08 5.076345507461719577e-08
2.327809999999999935e+00 2.108307978697717934e-08 5.095129415193886278e-08
2.342870000000000008e+00 2.122264004029113574e-08 5.119326892205726923e-08
2.358029999999999848e+00 2.134236606169800991e-08 5.142232311521388723e-08
2.373289999999999900e+00 2.146048118993586831e-08 5.156925291090453635e-08
2.388640000000000096e+00 2.156930206971140358e-08 5.172291535061830558e-08
2.404100000000000126e+00 2.167811120802946173e-08 5.194528709696686448e-08
2.419659999999999922e+00 2.178895168889817764e-08 5.206263043917127261e-08
2.435309999999999864e+00 2.189368273433464312e-08 5.227643856352773595e-08
2.451070000000000082e+00 2.195872880072613673e-08 5.246773362705793628e-08
2.466930000000000067e+00 2.203794505375279111e-08 5.268317047611578094e-08
2.482889999999999819e+00 2.214242656835324205e-08 5.297925090436508143e-08
2.498959999999999848e+00 2.210724130023914770e-08 5.314340479447067295e-08
2.515130000000000088e+00 2.213316556561535288e-08 5.342139955029469784e-08
2.531400000000000095e+00 2.230744755573552021e-08 5.376616259712667437e-08
2.547779999999999934e+00 2.237200043153556293e-08 5.402182439973075193e-08
2.564270000000000049e+00 2.245972471408826941e-08 5.436980098196449396e-08
2.580859999999999932e+00 2.258216527728053626e-08 5.467058937762808486e-08
2.597560000000000091e+00 2.260280585204294003e-08 5.484054468769421267e-08
2.614370000000000083e+00 2.263394294513631719e-08 5.500230221444479579e-08
2.631289999999999907e+00 2.274652486228514423e-08 5.520526796991877937e-08
2.648309999999999942e+00 2.276347706753370190e-08 5.521680643122871697e-08
2.665449999999999875e+00 2.280212516637567208e-08 5.529293504309352249e-08
2.682700000000000085e+00 2.298298790530099276e-08 5.568450374815454530e-08
2.700050000000000061e+00 2.311912686787690332e-08 5.600937647361261888e-08
2.717530000000000001e+00 2.324869209986654405e-08 5.627739090947726849e-08
2.735110000000000152e+00 2.338037296292414834e-08 5.650477977168036134e-08
2.752810000000000201e+00 2.351253165406917997e-08 5.680805138205897004e-08
2.770620000000000083e+00 2.361259787850323383e-08 5.680198195255591998e-08
2.788549999999999862e+00 2.373041475476876614e-08 5.687445500235498954e-08
2.806589999999999918e+00 2.387342047381663480e-08 5.712590284671153134e-08
2.824749999999999872e+00 2.399338123417340290e-08 5.716618602880527135e-08
2.843030000000000168e+00 2.413333609673518566e-08 5.742630519714914405e-08
2.861429999999999918e+00 2.430494772261547839e-08 5.779964097707970812e-08
2.879939999999999944e+00 2.442002869176284001e-08 5.813426011806679735e-08
2.898579999999999934e+00 2.454333970155103071e-08 5.846680839618413163e-08
2.917330000000000201e+00 2.464462577300181394e-08 5.876630263707418090e-08
2.936209999999999987e+00 2.458077478666005617e-08 5.847070983668732438e-08
2.955210000000000115e+00 2.463499194776610461e-08 5.834682110801595635e-08
2.974330000000000140e+00 2.466659466199772782e-08 5.831397403543313543e-08
2.993580000000000130e+00 2.469057817502410900e-08 5.826966229272989789e-08
3.012950000000000017e+00 2.479450050442845627e-08 5.870984338612487969e-08
